"","Country_Region","Exposure","Date","Region","LastExposure","LastDate","lnsdi","lnurban","lnp70p","lnhhsn","lnihr2018","lnsqualty"
"1","Algeria",319,2021-01-08,"North",318,2021-01-07,-0.478035807609558,-0.314710706472397,1.3862943649292,1.62625181359053,4.38202667236328,4.17438745498657
"2","Algeria",320,2021-01-09,"North",318,2021-01-07,-0.478035807609558,-0.314710706472397,1.3862943649292,1.62625181359053,4.38202667236328,4.17438745498657
"3","Algeria",321,2021-01-10,"North",318,2021-01-07,-0.478035807609558,-0.314710706472397,1.3862943649292,1.62625181359053,4.38202667236328,4.17438745498657
"4","Algeria",322,2021-01-11,"North",318,2021-01-07,-0.478035807609558,-0.314710706472397,1.3862943649292,1.62625181359053,4.38202667236328,4.17438745498657
"5","Algeria",323,2021-01-12,"North",318,2021-01-07,-0.478035807609558,-0.314710706472397,1.3862943649292,1.62625181359053,4.38202667236328,4.17438745498657
"6","Algeria",324,2021-01-13,"North",318,2021-01-07,-0.478035807609558,-0.314710706472397,1.3862943649292,1.62625181359053,4.38202667236328,4.17438745498657
"7","Algeria",325,2021-01-14,"North",318,2021-01-07,-0.478035807609558,-0.314710706472397,1.3862943649292,1.62625181359053,4.38202667236328,4.17438745498657
"8","Algeria",326,2021-01-15,"North",318,2021-01-07,-0.478035807609558,-0.314710706472397,1.3862943649292,1.62625181359053,4.38202667236328,4.17438745498657
"9","Algeria",327,2021-01-16,"North",318,2021-01-07,-0.478035807609558,-0.314710706472397,1.3862943649292,1.62625181359053,4.38202667236328,4.17438745498657
"10","Algeria",328,2021-01-17,"North",318,2021-01-07,-0.478035807609558,-0.314710706472397,1.3862943649292,1.62625181359053,4.38202667236328,4.17438745498657
"11","Algeria",329,2021-01-18,"North",318,2021-01-07,-0.478035807609558,-0.314710706472397,1.3862943649292,1.62625181359053,4.38202667236328,4.17438745498657
"12","Algeria",330,2021-01-19,"North",318,2021-01-07,-0.478035807609558,-0.314710706472397,1.3862943649292,1.62625181359053,4.38202667236328,4.17438745498657
"13","Algeria",331,2021-01-20,"North",318,2021-01-07,-0.478035807609558,-0.314710706472397,1.3862943649292,1.62625181359053,4.38202667236328,4.17438745498657
"14","Algeria",332,2021-01-21,"North",318,2021-01-07,-0.478035807609558,-0.314710706472397,1.3862943649292,1.62625181359053,4.38202667236328,4.17438745498657
"15","Algeria",333,2021-01-22,"North",318,2021-01-07,-0.478035807609558,-0.314710706472397,1.3862943649292,1.62625181359053,4.38202667236328,4.17438745498657
"16","Algeria",334,2021-01-23,"North",318,2021-01-07,-0.478035807609558,-0.314710706472397,1.3862943649292,1.62625181359053,4.38202667236328,4.17438745498657
"17","Algeria",335,2021-01-24,"North",318,2021-01-07,-0.478035807609558,-0.314710706472397,1.3862943649292,1.62625181359053,4.38202667236328,4.17438745498657
"18","Algeria",336,2021-01-25,"North",318,2021-01-07,-0.478035807609558,-0.314710706472397,1.3862943649292,1.62625181359053,4.38202667236328,4.17438745498657
"19","Algeria",337,2021-01-26,"North",318,2021-01-07,-0.478035807609558,-0.314710706472397,1.3862943649292,1.62625181359053,4.38202667236328,4.17438745498657
"20","Algeria",338,2021-01-27,"North",318,2021-01-07,-0.478035807609558,-0.314710706472397,1.3862943649292,1.62625181359053,4.38202667236328,4.17438745498657
"21","Algeria",339,2021-01-28,"North",318,2021-01-07,-0.478035807609558,-0.314710706472397,1.3862943649292,1.62625181359053,4.38202667236328,4.17438745498657
"22","Angola",295,2021-01-08,"South",294,2021-01-07,-0.820980548858643,-0.462035477161407,0,1.73871028423309,4.07753753662109,3.58351898193359
"23","Angola",296,2021-01-09,"South",294,2021-01-07,-0.820980548858643,-0.462035477161407,0,1.73871028423309,4.07753753662109,3.58351898193359
"24","Angola",297,2021-01-10,"South",294,2021-01-07,-0.820980548858643,-0.462035477161407,0,1.73871028423309,4.07753753662109,3.58351898193359
"25","Angola",298,2021-01-11,"South",294,2021-01-07,-0.820980548858643,-0.462035477161407,0,1.73871028423309,4.07753753662109,3.58351898193359
"26","Angola",299,2021-01-12,"South",294,2021-01-07,-0.820980548858643,-0.462035477161407,0,1.73871028423309,4.07753753662109,3.58351898193359
"27","Angola",300,2021-01-13,"South",294,2021-01-07,-0.820980548858643,-0.462035477161407,0,1.73871028423309,4.07753753662109,3.58351898193359
